"participant","pair_delta_learning_phase","pair_delta_reversal_phase","delta_learning_phase_above_pair_type","delta_reversal_phase_above_pair_type","total_correct_learning_phase","total_correct_reversal_phase","delta_reversed_pair_end_of_phases","delta_non_reversed_pair_end_of_phases","delta_reversed_pair_within_switch_point","delta_non_reversed_pair_within_switch_point","delta_reversed_pair_throughout_reversal_phase","delta_non_reversed_pair_throughout_reversal_phase","total_correct_per_participant"
"sub_164",0,-3,0,-8,28,26,-2,1,-1,-1,1,-2,54
"sub_168",5,7,11,19,35,27,2,0,1,1,-1,0,62
"sub_173",-1,-2,-2,0,42,40,-1,0,2,2,3,0,82
"sub_177",4,7,16,20,40,32,5,2,2,2,-3,-2,72
"sub_181",-3,-5,-7,-2,33,26,-1,1,3,3,4,0,59
"sub_184",-2,10,-4,27,50,29,10,-2,9,9,-1,1,79
"sub_212",0,5,-1,2,41,40,4,-1,-2,-2,-6,3,81
"sub_213",-2,1,-7,-1,27,27,3,0,2,2,-1,0,54
"sub_215",0,0,-1,0,47,26,5,5,3,3,-2,-2,73
"sub_217",-1,2,-6,2,42,34,3,0,9,9,6,9,76
"sub_219",0,6,5,17,31,39,2,-4,4,4,2,0,70
"sub_221",0,-1,2,-1,46,55,0,1,1,1,1,0,101
"sub_227",-1,5,-15,10,41,28,8,2,5,5,-3,0,69
"sub_230",0,1,2,-3,52,55,1,0,0,0,-1,1,107
"sub_248",0,7,8,20,44,34,6,-1,6,6,0,1,78
"sub_256",1,9,5,20,45,36,9,1,5,5,-4,-1,81
"sub_257",0,0,-1,-1,53,59,0,0,0,0,0,1,112
"sub_258",0,5,1,11,43,29,5,0,6,6,1,-1,72
"sub_265",-4,-2,-4,-3,26,31,1,-1,5,5,4,-1,57
"sub_266",-2,-1,0,-1,38,31,3,2,2,2,-1,-2,69
"sub_268",0,8,-2,10,48,42,9,1,0,0,-9,-1,90
"sub_270",7,9,16,18,42,38,3,1,-3,-3,-6,0,80
"sub_284",-4,7,-13,18,39,24,8,-3,6,6,-2,0,63
"sub_287",0,-2,-2,1,36,29,2,4,1,1,-1,-4,65
"sub_288",0,1,1,0,27,30,-1,-2,-1,-1,0,1,57
"sub_289",-1,3,3,4,29,28,4,0,4,4,0,1,57
"sub_303",0,8,6,11,54,35,8,0,1,1,-7,1,89
"sub_312",2,4,7,11,47,47,1,-1,1,1,0,1,94
"sub_324",0,-1,2,-1,46,33,5,6,4,4,-1,-5,79
"sub_329",2,2,5,1,49,51,0,0,-2,-2,-2,2,100
