trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp4.png,total_learning_time,estimation_exp2.png,estimation_exp3.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.6294027627045456,0,valid_lose,223.77998800000023,14,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.2377600214053881,0,invalid_lose,230.31248249999953,14,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.4581784006070415,0,valid_lose,241.57917579999958,14,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.382677529505404,1,valid_win,245.64555219999966,15,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.6054142529497998,0,valid_lose,249.6462061000002,15,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.03709278029041063,0,invalid_lose,255.69581619999917,15,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7482459047543755,1,valid_win,262.2286760999996,16,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.22872449253581062,0,invalid_lose,274.56143689999953,16,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.5696791226816333,1,valid_win,283.37888569999996,17,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.14799523192111141,0,invalid_lose,287.94555319999927,17,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.4431296557251735,1,valid_win,293.19514720000006,18,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.74377157913479,0,valid_lose,303.06168330000037,18,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.15909435959388296,0,invalid_lose,310.9951476999995,18,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.1511904712672275,0,invalid_lose,316.07785369999874,18,,,,,,,,,,,,,,,,sub_711,2024-11-24_11h14.47.363,Reversal,2022.1.2,60.0108619659816,3,
