trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp3.png,estimation_exp4.png,estimation_exp2.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.29321793474901814,1,valid_win,424.7593128000153,26,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.1757134524978763,0,invalid_lose,429.9759378999879,26,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3143894160855907,1,valid_win,436.1762252000044,27,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.7752965338593193,0,valid_lose,445.9595732000016,27,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.915766206274929,1,valid_win,453.54195079999045,28,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,9.499182499974268,"[(100.0, 9.499182499974268)]",622.8025590000034,None,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4.734361000009812,"[(100.0, 4.734361000009812)]",633.82960680002,None,,,100.0,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,7.035691600001883,"[(100.0, 7.035691600001883)]",641.6477954000002,None,100.0,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp4.png,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,7.267820499982918,"[(100.0, 7.267820499982918)]",649.7299843000073,None,,100.0,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
