trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,total_learning_time,estimation_exp3.png,estimation_exp4.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,14,14,14,,,,,,,,,False,33,114,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.9966127029056352,0,valid_lose,739.6489461000001,49,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,15,15,15,,,,,,,,,False,34,115,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.43049302515289734,1,valid_win,743.8642082000006,50,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,False,35,116,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.5435912961173375,0,valid_lose,747.9464040999992,50,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,False,36,117,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.7562456652287493,1,valid_win,752.2111003000009,51,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,False,37,118,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.4616927192753344,0,valid_lose,756.3261213999995,51,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,False,38,119,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.14672360007220941,0,invalid_lose,760.4580650000007,51,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,20,20,20,,,,,,,,,False,39,120,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.38079573373226294,0,valid_lose,764.5553555000006,51,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp1.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,882.7533382000001,30.0,30.0,2.5089654000003065,"[(30.0, 2.5089654000003065)]",,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,886.3953343000012,,75.0,2.6381935000008525,"[(75.0, 2.6381935000008525)]",75.0,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp3.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,890.0509340999997,,28.0,1.5091411000012158,"[(28.0, 1.5091411000012158)]",,,28.0,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
