trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,estimation_exp1.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7895724791298904,1,valid_win,217.56275689974427,12,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.12852275880286868,1,invalid_win,224.61261789966375,13,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.3134641025713788,1,valid_win,230.09523839969188,14,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.4977796161392203,0,valid_lose,234.9132321998477,14,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.954536220884183,1,valid_win,245.3959264997393,15,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.6445523452711592,0,valid_lose,251.1118951998651,15,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.3287066619726152,1,valid_win,255.8624660000205,16,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.09420657286059819,0,invalid_lose,261.12930510006845,16,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.5528158528204031,1,valid_win,265.87892320007086,17,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9168186112829289,1,valid_win,272.0456112995744,18,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.965525303815345,1,valid_win,278.5620428994298,19,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.7174277490201842,1,valid_win,286.5281306998804,20,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.6078402365737426,1,valid_win,291.7613794002682,21,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.8277477379319478,0,valid_lose,298.59520570002496,21,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],417.76336700003594,None,,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.8150247996672988,"[(100.0, 1.8150247996672988)]",429.7120448006317,None,100.0,,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4.704127999953926,"[(100.0, 4.704127999953926)]",432.522188000381,None,,100.0,,,,,,,,,sub_227,2022-12-22_11h41.30.254,Reversal,2022.1.2,59.9960281349123,3,
