trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,total_learning_time,estimation_exp4.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6048005174240626,1,valid_win,87.61910549999448,9,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.1379699756094035,0,invalid_lose,93.28425419999985,9,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.12801191800859513,0,invalid_lose,98.26567310001701,9,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.8296722209722671,0,valid_lose,103.13012210000306,9,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7859728516550537,1,valid_win,107.71247560001211,10,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.305473979848503,1,valid_win,113.22697240000707,11,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7676860394820694,1,valid_win,117.95856910001021,12,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.34202300352775783,1,valid_win,122.70718850000412,13,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.49172552991316476,0,valid_lose,127.10596849999274,13,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.7841006529529324,0,valid_lose,131.52042680000886,13,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.9866719999991,48.0,48.0,21.930951500020456,"[(51.0, 14.134456200001296), (48.0, 21.930951500020456)]",,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.84335609999835,,None,None,[],,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.8097453000082,,None,None,[],,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.87597399999504,,None,None,[],,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.023235490706795425,0,invalid_lose,178.15547090000473,13,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7880725170054161,1,valid_win,182.90351299999747,14,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.24097540868427947,0,invalid_lose,192.1834657000145,14,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
